id_instr,description,instr_type_01,instr_type_02,instr_type_03,issuer,cpn,cpn_freq,maturity,isin,cusip,bloom_ticker,currency,id_curve
USD,USD spot,CURRENCY,,,,,,,,,,USD,USD
AUD,AUD spot,CURRENCY,,,,,,,,,,AUD,AUD
CAD,CAD spot,CURRENCY,,,,,,,,,,CAD,CAD
CHF,CHF spot,CURRENCY,,,,,,,,,,CHF,CHF
CLP,CLP spot,CURRENCY,,,,,,,,,,CLP,CLP
CNH,CNH spot,CURRENCY,,,,,,,,,,CNH,CNH
EUR,EUR spot,CURRENCY,,,,,,,,,,EUR,EUR
GBP,GBP spot,CURRENCY,,,,,,,,,,GBP,GBP
JPY,JPY spot,CURRENCY,,,,,,,,,,JPY,JPY
NOK,NOK spot,CURRENCY,,,,,,,,,,NOK,NOK
NZD,NZD spot,CURRENCY,,,,,,,,,,NZD,NZD
SEK,SEK spot,CURRENCY,,,,,,,,,,SEK,SEK
SGD,SGD spot,CURRENCY,,,,,,,,,,SGD,SGD
XAG,XAG spot,COMMODITY,,,,,,,,,,XAG,XAG
XAU,XAU spot,COMMODITY,,,,,,,,,,XAU,XAU
XDR,XDR spot,CURRENCY,,,,,,,,,,XDR,XDR
US313379DD85,FHLB 1 06/21/17,BOND,AGEN,YIELD,FHLB,1,2,6/21/17,US313379DD85,313379DD8,US313379DD85 Govt,USD,AGEN_USD_USA
US3135G0FY40,FNMA 0 3/4 12/19/14,BOND,AGEN,YIELD,FNMA,0.75,2,12/19/14,US3135G0FY40,3135G0FY4,US3135G0FY40 Govt,USD,AGEN_USD_USA
US3135G0KM47,FNMA 0 1/2 05/27/15,BOND,AGEN,YIELD,FNMA,0.5,2,5/27/15,US3135G0KM47,3135G0KM4,US3135G0KM47 Govt,USD,AGEN_USD_USA
US3135G0MZ32,FNMA 0 7/8 08/28/17,BOND,AGEN,YIELD,FNMA,0.875,2,8/28/17,US3135G0MZ32,3135G0MZ3,US3135G0MZ32 Govt,USD,AGEN_USD_USA
US3137EACY34,FHLMC 0 3/4 11/25/14,BOND,AGEN,YIELD,FHLMC,0.75,2,11/25/14,US3137EACY34,3137EACY3,US3137EACY34 Govt,USD,AGEN_USD_USA
US3134G1P655,FHLMC 0 3/4 12/28/12,BOND,AGEN,YIELD,FHLMC,0.75,2,12/28/12,US3134G1P655,3134G1P65,US3134G1P655 Govt,USD,AGEN_USD_USA
US3137EADA49,FHLMC 0 5/8 12/29/14,BOND,AGEN,YIELD,FHLMC,0.625,2,12/29/14,US3137EADA49,3137EADA4,US3137EADA49 Govt,USD,AGEN_USD_USA
US3137EADB22,FHLMC 2 3/8 01/13/22,BOND,AGEN,YIELD,FHLMC,2.375,2,1/13/22,US3137EADB22,3137EADB2,US3137EADB22 Govt,USD,AGEN_USD_USA
US3137EADJ57,FHLMC 1 07/28/17,BOND,AGEN,YIELD,FHLMC,1,2,7/28/17,US3137EADJ57,3137EADJ5,US3137EADJ57 Govt,USD,AGEN_USD_USA
US3137EADK21,FHLMC 1 1/4 08/01/19,BOND,AGEN,YIELD,FHLMC,1.25,2,8/1/19,US3137EADK21,3137EADK2,US3137EADK21 Govt,USD,AGEN_USD_USA
US3137EADL04,FHLMC 1 09/29/17,BOND,AGEN,YIELD,FHLMC,1,2,9/29/17,US3137EADL04,3137EADL0,US3137EADL04 Govt,USD,AGEN_USD_USA
US3137EADM86,FHLMC 1 1/4 10/02/19,BOND,AGEN,YIELD,FHLMC,1.25,2,10/2/19,US3137EADM86,3137EADM8,US3137EADM86 Govt,USD,AGEN_USD_USA
US31398A5W82,FNMA 0 3/4 12/18/13,BOND,AGEN,YIELD,FNMA,0.75,2,12/18/13,US31398A5W82,31398A5W8,US31398A5W82 Govt,USD,AGEN_USD_USA
US31398AX318,FNMA 1 1/4 08/20/13,BOND,AGEN,YIELD,FNMA,1.25,2,8/20/13,US31398AX318,31398AX31,US31398AX318 Govt,USD,AGEN_USD_USA
US36186CBF95,ALLY 2.2 12/19/12,BOND,CORP,YIELD,ALLY,2.2,2,12/19/12,US36186CBF95,36186CBF9,US36186CBF95 Govt,USD,AGEN_USD_USA
US481247AM66,JPM 2 1/8 12/26/12,BOND,CORP,YIELD,JPM,2.125,2,12/26/12,US481247AM66,481247AM6,US481247AM66 Govt,USD,AGEN_USD_USA
US9127956F31,B 04/04/13,BOND,GOVT,BILL,USA,0,1,4/4/13,US9127956F31,9127956F3,US9127956F31 Govt,USD,GOVT_USD_USA
US912810FT08,T 4 1/2 02/15/36,BOND,GOVT,NOTE,USA,4.5,2,2/15/36,US912810FT08,912810FT0,US912810FT08 Govt,USD,GOVT_USD_USA
US912810QN19,T 4 3/4 02/15/41,BOND,GOVT,NOTE,USA,4.75,2,2/15/41,US912810QN19,912810QN1,US912810QN19 Govt,USD,GOVT_USD_USA
US912810QX90,T 2 3/4 08/15/42,BOND,GOVT,NOTE,USA,2.75,2,8/15/42,US912810QX90,912810QX9,US912810QX90 Govt,USD,GOVT_USD_USA
US912828BW98,TII 2 01/15/14,BOND,GOVT,NOTE,USA,2,2,1/15/14,US912828BW98,912828BW9,US912828BW98 Govt,USD,GOVT_USD_USA
US912828QD52,TII 0 1/8 04/15/16,BOND,GOVT,NOTE,USA,0.125,2,4/15/16,US912828QD52,912828QD5,US912828QD52 Govt,USD,GOVT_USD_USA
US912828QE36,T 0 5/8 04/30/13,BOND,GOVT,NOTE,USA,0.625,2,4/30/13,US912828QE36,912828QE3,US912828QE36 Govt,USD,GOVT_USD_USA
US912828QS22,T 0 3/4 06/15/14,BOND,GOVT,NOTE,USA,0.75,2,6/15/14,US912828QS22,912828QS2,US912828QS22 Govt,USD,GOVT_USD_USA
US912828RG74,T 0 1/4 09/15/14,BOND,GOVT,NOTE,USA,0.25,2,9/15/14,US912828RG74,912828RG7,US912828RG74 Govt,USD,GOVT_USD_USA
US912828RV42,T 0 1/4 12/15/14,BOND,GOVT,NOTE,USA,0.25,2,12/15/14,US912828RV42,912828RV4,US912828RV42 Govt,USD,GOVT_USD_USA
US912828SB78,T 0 1/4 01/31/14,BOND,GOVT,NOTE,USA,0.25,2,1/31/14,US912828SB78,912828SB7,US912828SB78 Govt,USD,GOVT_USD_USA
US912828SR21,T 0 1/4 04/30/14,BOND,GOVT,NOTE,USA,0.25,2,4/30/14,US912828SR21,912828SR2,US912828SR21 Govt,USD,GOVT_USD_USA
US9127956E65,B 0.000 3/7/2013,BOND,GOVT,BILL,USA,0,NA,3/7/13,US9127956E65,'9127956E',US9127956E65 Govt,USD,GOVT_USD_USA
US9127956L09,B 0.000 5/2/2013,BOND,GOVT,BILL,USA,0,NA,5/2/13,US9127956L09,'9127956L',US9127956L09 Govt,USD,GOVT_USD_USA
US9127956R78,B 0.000 5/30/2013,BOND,GOVT,BILL,USA,0,NA,5/30/13,US9127956R78,'9127956R',US9127956R78 Govt,USD,GOVT_USD_USA
US9127956W63,B 0.000 6/27/2013,BOND,GOVT,BILL,USA,0,NA,6/27/13,US9127956W63,'9127956W',US9127956W63 Govt,USD,GOVT_USD_USA
US9127957A35,B 0.000 7/25/2013,BOND,GOVT,BILL,USA,0,NA,7/25/13,US9127957A35,'9127957A',US9127957A35 Govt,USD,GOVT_USD_USA
US9127957E56,B 0.000 8/22/2013,BOND,GOVT,BILL,USA,0,NA,8/22/13,US9127957E56,'9127957E',US9127957E56 Govt,USD,GOVT_USD_USA
US9127957H87,B 0.000 2/28/2013,BOND,GOVT,BILL,USA,0,NA,2/28/13,US9127957H87,'9127957H',US9127957H87 Govt,USD,GOVT_USD_USA
US9127957K17,B 0.000 9/19/2013,BOND,GOVT,BILL,USA,0,NA,9/19/13,US9127957K17,'9127957K',US9127957K17 Govt,USD,GOVT_USD_USA
US9127957L99,B 0.000 3/14/2013,BOND,GOVT,BILL,USA,0,NA,3/14/13,US9127957L99,'9127957L',US9127957L99 Govt,USD,GOVT_USD_USA
US9127957M72,B 0.000 3/21/2013,BOND,GOVT,BILL,USA,0,NA,3/21/13,US9127957M72,'9127957M',US9127957M72 Govt,USD,GOVT_USD_USA
US912795Z618,B 0.000 3/28/2013,BOND,GOVT,BILL,USA,0,NA,3/28/13,US912795Z618,'912795Z6',US912795Z618 Govt,USD,GOVT_USD_USA
US912795Z873,B 0.000 10/17/2013,BOND,GOVT,BILL,USA,0,NA,10/17/13,US912795Z873,'912795Z8',US912795Z873 Govt,USD,GOVT_USD_USA
US912795Z956,B 0.000 4/11/2013,BOND,GOVT,BILL,USA,0,NA,4/11/13,US912795Z956,'912795Z9',US912795Z956 Govt,USD,GOVT_USD_USA
US912796AA77,B 0.000 4/18/2013,BOND,GOVT,BILL,USA,0,NA,4/18/13,US912796AA77,'912796AA',US912796AA77 Govt,USD,GOVT_USD_USA
US912796AB50,B 0.000 4/25/2013,BOND,GOVT,BILL,USA,0,NA,4/25/13,US912796AB50,'912796AB',US912796AB50 Govt,USD,GOVT_USD_USA
US912796AE99,B 0.000 11/14/2013,BOND,GOVT,BILL,USA,0,NA,11/14/13,US912796AE99,'912796AE',US912796AE99 Govt,USD,GOVT_USD_USA
US912796AF64,B 0.000 5/9/2013,BOND,GOVT,BILL,USA,0,NA,5/9/13,US912796AF64,'912796AF',US912796AF64 Govt,USD,GOVT_USD_USA
US912796AG48,B 0.000 5/16/2013,BOND,GOVT,BILL,USA,0,NA,5/16/13,US912796AG48,'912796AG',US912796AG48 Govt,USD,GOVT_USD_USA
US912796AH21,B 0.000 5/23/2013,BOND,GOVT,BILL,USA,0,NA,5/23/13,US912796AH21,'912796AH',US912796AH21 Govt,USD,GOVT_USD_USA
US912796AJ86,B 0.000 6/6/2013,BOND,GOVT,BILL,USA,0,NA,6/6/13,US912796AJ86,'912796AJ',US912796AJ86 Govt,USD,GOVT_USD_USA
US912796AK59,B 0.000 12/12/2013,BOND,GOVT,BILL,USA,0,NA,12/12/13,US912796AK59,'912796AK',US912796AK59 Govt,USD,GOVT_USD_USA
US912796AL33,B 0.000 6/13/2013,BOND,GOVT,BILL,USA,0,NA,6/13/13,US912796AL33,'912796AL',US912796AL33 Govt,USD,GOVT_USD_USA
US912796AM16,B 0.000 6/20/2013,BOND,GOVT,BILL,USA,0,NA,6/20/13,US912796AM16,'912796AM',US912796AM16 Govt,USD,GOVT_USD_USA
US912796AN98,B 0.000 7/5/2013,BOND,GOVT,BILL,USA,0,NA,7/5/13,US912796AN98,'912796AN',US912796AN98 Govt,USD,GOVT_USD_USA
